p,cooperativity,factor,eig_index,pulse_index,alpha,beta,gamma,kappa,detuning,cache_key
0.0005,1000000.0,feedback U_1,8,8,0.06340356540929683,0.4342468526105122,0.02454353312720846,0.00011665646297773738,1.0011524935587972,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_2,0,1,0.17731118215902084,-2.3343168849541702,-2.2415412068092557,-0.4684713381321162,0.05,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_2,0,2,2.1142920790585404,2.684287023713107,-3.0016318187864943,-0.5332072799210761,0.9605889100828406,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_2,0,3,-2.2345770102574867,-1.0976842490698622,1.9803187442561607,-0.001090759017369731,0.9850233828984558,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_2,0,4,0.5304860381432948,3.030066972646298,0.7544464121587799,0.8941633871970912,0.7903282331121536,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_2,0,5,3.1090361014017924,-2.355217318123931,1.6799320835059897,0.8342391480139406,0.9903285366780261,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_2,0,6,2.6733208783696765,-0.9502655738052932,2.3010952940070553,-0.11594669130950955,1.0671258568548687,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_2,0,7,2.8685558123197215,1.1750798063060957,2.6195153007454968,-0.7432821755307637,0.9568448666962864,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_2,0,8,-0.6444398714520863,1.323626245645653,-1.3546916467949375,2.0438496173551712,1.2491596599371941,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_2,0,9,2.6732429051148263,-0.4414757839838753,2.137605071934422,-2.4679810361723824,1.0030581222977153,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_2,0,10,-1.9945594516963958,1.4728233278140432,1.1975993314534785,1.4933370712292522,0.7715325759455496,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
